City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,vagay,57.9375,69.0217,22.23,97,100,2.8,RU,1678227099
260,evensk,61.95,159.2333,4.77,97,100,4.0,RU,1678226808
261,dunedin,-45.8742,170.5036,71.08,70,91,1.63,NZ,1678226848
262,saldanha,-33.0117,17.9442,62.06,89,31,13.8,ZA,1678227099
263,mecca,21.4267,39.8261,78.51,50,100,3.04,SA,1678227100
264,auki,-8.7676,160.7034,80.04,85,100,3.11,SB,1678227100
265,sao geraldo do araguaia,-6.4006,-48.555,76.28,94,93,2.64,BR,1678227101
266,aquiraz,-3.9014,-38.3911,83.17,84,19,9.66,BR,1678227101
267,novyy urengoy,66.0833,76.6333,-0.98,95,98,15.17,RU,1678227101
268,provost,52.3501,-110.2683,13.59,89,100,13.69,CA,1678227102
269,alibag,18.6411,72.8792,82.47,60,39,6.02,IN,1678227102
270,tomatlan,19.9333,-105.25,85.91,37,52,9.69,MX,1678227102
271,banjar,-8.19,114.9675,75.43,89,85,2.53,ID,1678227103
272,saskylakh,71.9167,114.0833,-12.46,95,100,6.91,RU,1678227103
273,shuiji,27.4214,118.345,54.72,66,50,2.1,CN,1678227103
274,dombarovskiy,50.7587,59.5386,8.26,98,37,6.38,RU,1678227104
275,jitotol,17.0333,-92.8667,70.63,41,94,4.38,MX,1678227104
276,luwuk,-0.9516,122.7875,76.01,88,61,3.96,ID,1678227104
277,kinkala,-4.3614,14.7644,73.6,77,100,2.06,CG,1678227105
278,paulo afonso,-9.4061,-38.2147,84.7,40,31,16.75,BR,1678227105
279,port moresby,-9.4431,147.1797,80.15,72,49,5.68,PG,1678227105
280,coquimbo,-29.9533,-71.3436,69.53,73,0,9.22,CL,1678227106
281,padang,-0.9492,100.3543,75.25,85,45,4.41,ID,1678227106
282,gabu,12.2833,-14.2167,86.99,12,93,4.56,GW,1678227106
283,chuy,-33.6971,-53.4616,74.97,85,20,5.66,UY,1678227107
284,camana,-16.6228,-72.7111,76.24,78,65,3.71,PE,1678227107
285,necochea,-38.5473,-58.7368,68.92,83,98,10.25,AR,1678227108
286,ahipara,-35.1667,173.1667,69.24,57,1,3.02,NZ,1678227108
287,palmer,42.1584,-72.3287,35.92,53,100,8.01,US,1678227108
288,carroll,39.5501,-77.0164,49.08,29,0,14.0,US,1678227109
289,rondonopolis,-16.4708,-54.6356,78.06,87,100,4.94,BR,1678227109
290,santa vitoria do palmar,-33.5189,-53.3681,75.24,83,19,6.26,BR,1678227110
291,egvekinot,66.3167,-179.1667,-6.66,83,100,8.9,RU,1678227110
292,kununurra,-15.7667,128.7333,76.98,100,100,0.0,AU,1678227110
293,tucurui,-3.7661,-49.6725,76.14,95,99,3.76,BR,1678227111
294,san andres,12.5847,-81.7006,84.22,61,20,12.66,CO,1678227111
295,nome,64.5011,-165.4064,34.16,100,100,18.41,US,1678227005
296,sitka,57.0531,-135.33,39.09,26,20,16.11,US,1678227111
297,pyu,18.4833,96.4333,68.85,50,0,2.28,MM,1678227112
298,lakhimpur,27.95,80.7667,65.84,29,99,2.62,IN,1678227112
299,sao jose da coroa grande,-8.8978,-35.1478,80.44,78,100,11.23,BR,1678227113
300,lock haven,41.137,-77.4469,41.49,77,7,14.92,US,1678226561
301,sisimiut,66.9395,-53.6735,25.75,68,12,6.73,GL,1678227113
302,prince rupert,54.3161,-130.3201,30.65,56,100,3.15,CA,1678226817
303,oranjemund,-28.55,16.4333,62.76,90,6,7.09,NA,1678227114
304,kenitra,34.261,-6.5802,56.16,95,25,3.85,MA,1678227114
305,procida,40.7569,14.0144,54.68,82,90,3.0,IT,1678227114
306,alofi,-19.0595,-169.9187,76.89,91,100,10.65,NU,1678227114
307,tabou,4.423,-7.3528,80.65,85,99,8.81,CI,1678227115
308,monrovia,6.3005,-10.7969,78.57,85,97,8.72,LR,1678227115
309,finnsnes,69.2296,17.9811,2.75,95,61,5.55,NO,1678227116
310,kayerkan,69.3497,87.7602,-22.49,74,97,4.47,RU,1678227116
311,hovd,48.0056,91.6419,33.28,27,99,8.16,MN,1678227116
